seed,episode,scenario_id,robot,full_success,active_steps,first_mode,last_mode,first_probability,mean_probability,visible_switches,controller_switches,run_signature,run_lengths
20260910,35,dense-20260718009595-81174b873c68,r4,0,22,dense,standard,0.8549336194992065,0.654708978804675,1,2,dense -> standard,dense:16;standard:6
20260910,35,dense-20260718009595-81174b873c68,r5,0,5,dense,dense,0.775775671005249,0.7262172222137451,0,1,dense,dense:5
20260910,36,dense-20260718009641-a2bcc1748761,r1,0,26,dense,standard,0.8855617046356201,0.6446005214865391,1,2,dense -> standard,dense:18;standard:8
20260910,36,dense-20260718009641-a2bcc1748761,r2,0,15,dense,dense,0.7445427775382996,0.6369643688201905,0,1,dense,dense:15
20260910,36,dense-20260718009641-a2bcc1748761,r3,0,6,dense,dense,0.5559675097465515,0.6447978218396505,0,1,dense,dense:6
20260910,36,dense-20260718009641-a2bcc1748761,r4,0,15,dense,standard,0.7297634482383728,0.5035079364975293,1,2,dense -> standard,dense:10;standard:5
20260910,36,dense-20260718009641-a2bcc1748761,r5,0,22,dense,standard,0.6028776168823242,0.6191922155293551,1,2,dense -> standard,dense:20;standard:2
20260910,37,dense-20260718009665-27205d372417,r1,0,21,dense,standard,0.5960686206817627,0.4668030249220984,1,2,dense -> standard,dense:16;standard:5
20260910,37,dense-20260718009665-27205d372417,r2,0,21,dense,standard,0.8612617254257202,0.8494093091714949,1,2,dense -> standard,dense:20;standard:1
20260910,37,dense-20260718009665-27205d372417,r3,0,23,dense,standard,0.5837613344192505,0.6994643613048221,1,2,dense -> standard,dense:20;standard:3
20260910,37,dense-20260718009665-27205d372417,r4,0,25,dense,standard,0.5830486416816711,0.5556599134206772,1,2,dense -> standard,dense:22;standard:3
20260910,37,dense-20260718009665-27205d372417,r5,0,5,dense,dense,0.6341313719749451,0.3708141312003136,0,1,dense,dense:5
20260910,38,dense-20260718009699-b63c5cb93121,r1,0,16,dense,dense,0.8360480070114136,0.6568028964102268,0,1,dense,dense:16
20260910,38,dense-20260718009699-b63c5cb93121,r2,0,16,dense,standard,0.8162010312080383,0.5379894804209471,1,2,dense -> standard,dense:12;standard:4
